,r0,r1,r2,r3,r4,r5,r6,r7,g0,g1,g2,g3,g4,g5,g6,g7,b0,b1,b2,b3,b4,b5,b6,b7,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
0,68323,98150,153660,101885,97423,234586,128783,38790,70709,104794,168323,113230,102920,141633,119402,100589,173689,175137,207244,182660,139180,155966,98585,96339,154000.0,0.33399999,-0.012890583999999998,3,Poor,Non_Severely_Poor,0,0,0,1,0
1,42438,41219,77122,130688,202396,213246,64535,149956,62182,42949,120998,162446,187334,158431,129420,57840,109575,162528,349805,149841,147605,149841,32325,127280,8000.0,0.38999999,1.1536205,4,Poor,Non_Severely_Poor,0,1,4,0,12
2,13306,40778,83875,132301,107954,135549,103173,74264,21204,77287,121895,131599,128092,64869,79770,66484,62508,131704,177454,237141,129917,59254,68776,54846,339000.0,0.22299999,-0.3751753,2,Non_Poor,Non_Severely_Poor,0,0,0,0,4
3,23553,65240,104711,206638,305048,125466,36897,54047,11521,48665,113294,240434,264116,125770,49870,67930,19969,70064,204935,335767,389160,108352,43023,57530,22000.0,0.22299999,-2.9410605,2,Non_Poor,Non_Severely_Poor,0,0,1,0,11
4,34749,55180,135827,206561,246376,205220,11694,25993,36550,62276,178641,197140,198983,202763,18956,26291,142203,127502,224962,167112,261975,267514,11528,26004,11000.0,0.38999999,-1.4002867,4,Poor,Non_Severely_Poor,0,0,0,0,3
5,37273,80326,102689,111944,100045,193592,234318,61413,55086,120076,123196,89523,135098,253675,75604,69342,115698,213654,133199,257002,258068,80208,53814,117157,60000.0,0.38999999,-0.66309017,4,Poor,Non_Severely_Poor,0,1,0,0,6
6,13322,32347,130061,181072,338703,197491,26011,2593,11778,50319,210119,179985,220002,204315,41588,3494,44637,136397,257450,369444,302012,102143,13645,3072,100000.0,0.0,0.43435112,1,Non_Poor,Non_Severely_Poor,0,0,0,2,0
7,30954,82650,91065,113730,127195,107149,124156,14301,29089,78871,99283,125093,135707,91763,118069,13325,42670,96540,137263,176605,199117,153420,89542,26443,306571.44,0.55699998,-0.91677368,5,Poor,Poor,0,0,0,0,17
8,12097,68590,155537,152329,101773,70673,59970,70231,33802,145355,114907,124259,80698,61417,42205,88557,49267,181583,197158,151125,77566,79744,76237,108920,55000.0,0.27899998,-1.520102,2,Non_Poor,Non_Severely_Poor,0,0,0,0,9
9,16560,20182,44900,112064,131064,236645,97069,32716,23303,75870,58864,93625,153715,200363,74397,11063,52501,140171,138085,245675,167513,150842,13078,13735,55000.0,0.16699999999999998,0.53944194,1,Non_Poor,Non_Severely_Poor,0,3,3,0,0
10,20383,64419,118286,109541,99479,175549,96216,7327,37931,83469,108538,89159,144007,151695,70504,5897,100321,149667,241593,145245,131129,56949,56899,39797,60000.0,0.16699999999999998,-0.9719196,1,Non_Poor,Non_Severely_Poor,0,0,0,0,22
11,58627,73800,85179,84877,135144,217362,185013,81598,78291,120791,93774,144743,203448,184132,27342,69079,233316,311369,168281,191478,123794,18742,48281,133539,30000.0,0.16699999999999998,0.42073464,1,Non_Poor,Non_Severely_Poor,0,0,0,1,3
12,48662,106087,49810,160649,138771,98164,73356,15701,40329,103787,51439,156486,155505,54317,110929,18408,78071,117531,105169,309562,143698,44348,87716,35505,200000.0,0.056000002,4.7812653,1,Non_Poor,Non_Severely_Poor,0,0,7,0,3
13,82869,67809,72810,161283,203305,144157,164630,24737,65837,100041,96500,183690,187376,83639,170058,34459,143962,127981,312453,171794,105434,70176,230206,66794,20000.0,0.38999999,0.3394081,4,Poor,Non_Severely_Poor,0,2,1,0,1
14,1761,26122,77462,232550,318436,123113,89935,52221,1336,25250,83079,267393,315479,83512,64105,81446,3781,44795,175296,368236,366676,101217,19664,149135,70000.0,0.38999999,0.0057338676,4,Poor,Non_Severely_Poor,0,0,3,0,6
15,1939,32893,84784,136941,216743,341538,53161,53601,2765,52850,112697,174264,278753,222507,23597,54167,23120,111489,248157,395979,287127,58186,17823,86919,90500.0,0.38999999,-1.0351306999999998,4,Poor,Non_Severely_Poor,0,0,0,0,2
16,10077,34776,81786,65786,145204,202534,82285,68752,20656,68604,79968,118863,155950,161274,45908,39977,88496,120169,128013,309843,80166,102171,52326,40416,260000.0,0.16699999999999998,1.5358614,1,Non_Poor,Non_Severely_Poor,0,0,7,0,0
17,39328,85160,91999,143546,115459,84058,55606,76044,55825,95022,79622,139222,129646,73565,41086,77212,186877,104119,97110,166788,159331,71082,71892,64401,25000.0,0.22299999,-0.88178396,2,Non_Poor,Non_Severely_Poor,0,0,2,0,2
18,82310,52126,82186,94776,86406,301436,102275,120085,98118,84976,60464,108390,242499,132003,44919,150231,188243,143475,146049,264147,175675,74541,45366,191304,90000.0,0.33399999,1.6328517,3,Poor,Non_Severely_Poor,0,2,0,2,0
19,200673,69803,37672,81733,67074,172931,27716,33598,13065,27720,52935,216012,211191,115122,34843,20312,32567,78362,84375,138493,321665,236927,11090,18121,205000.0,0.33399999,0.83906424,3,Poor,Non_Severely_Poor,0,0,0,0,3
20,12092,121851,126774,162745,174209,115313,141690,66926,13862,121277,159439,188954,144072,64607,114853,114536,66539,192128,298173,262827,149766,26431,140022,92914,45000.0,0.33399999,-0.65709585,3,Poor,Non_Severely_Poor,0,0,1,0,2
21,59728,93579,115809,75067,105657,126326,271533,73901,106439,116954,83126,87263,132018,165689,195743,34368,238199,154900,172370,211619,123151,51199,161853,115509,0.0,0.66899997,-4.0560222,5,Poor,Poor,0,0,0,0,3
22,4625,8199,29526,132281,289536,285370,94209,77854,2841,22742,116833,145142,313469,201293,35191,84089,7729,57109,188055,314145,370197,153038,25862,112665,0.0,0.44599998,-1.374929,5,Poor,Non_Severely_Poor,0,1,1,0,6
23,22456,43883,63242,106166,152498,386993,129139,17223,30019,60578,76399,128496,253506,279402,57727,35473,111088,220125,164930,234592,328136,84275,34310,51344,132000.0,0.112,0.034949627000000004,1,Non_Poor,Non_Severely_Poor,0,0,0,0,4
24,92936,121069,65213,63167,205691,205504,90435,77585,100094,115243,63227,138992,217747,142425,84199,59673,164803,139832,118261,226674,285450,150685,49511,93584,20000.0,0.16699999999999998,3.0653365000000004,1,Non_Poor,Non_Severely_Poor,0,0,0,0,8
25,8677,21749,88491,191944,222149,225692,93787,69111,9859,57464,134740,182897,200084,207890,68894,59772,29919,154158,222348,203995,244923,233096,55140,85221,82000.0,0.16699999999999998,-1.0442227,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
26,28503,40318,50320,86861,105837,276561,98189,4611,32760,45779,59202,95066,225759,180610,48751,3273,61961,102064,129720,338450,167441,84332,35100,2532,75000.0,0.16699999999999998,-0.034552176000000004,1,Non_Poor,Non_Severely_Poor,0,0,2,0,0
27,15701,51041,60306,89109,320755,343928,40478,282,8589,56773,62380,113759,412617,228202,38914,366,21619,95610,133507,265141,510177,143343,56454,2949,120000.0,0.33399999,1.7533824,3,Poor,Non_Severely_Poor,0,0,1,0,3
