,r0,r1,r2,r3,g0,g1,g2,g3,b0,b1,b2,b3,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
0,166473,255545,332009,167573,175503,281553,244553,219991,348826,389904,295146,194924,154000.0,0.33399999,-0.012890583999999998,3,Poor,Non_Severely_Poor,0,0,0,1,0
1,83657,207810,415642,214491,105131,283444,345765,187260,272103,499646,297446,159605,8000.0,0.38999999,1.1536205,4,Poor,Non_Severely_Poor,0,1,4,0,12
2,54084,216176,243503,177437,98491,253494,192961,146254,194212,414595,189171,123622,339000.0,0.22299999,-0.3751753,2,Non_Poor,Non_Severely_Poor,0,0,0,0,4
3,88793,311349,430514,90944,60186,353728,389886,117800,90033,540702,497512,100553,22000.0,0.22299999,-2.9410605,2,Non_Poor,Non_Severely_Poor,0,0,1,0,11
4,89929,342388,451596,37687,98826,375781,401746,45247,269705,392074,529489,37532,11000.0,0.38999999,-1.4002867,4,Poor,Non_Severely_Poor,0,0,0,0,3
5,117599,214633,293637,295731,175162,212719,388773,144946,329352,390201,338276,170971,60000.0,0.38999999,-0.66309017,4,Poor,Non_Severely_Poor,0,1,0,0,6
6,45669,311133,536194,28604,62097,390104,424317,45082,181034,626894,404155,16717,100000.0,0.0,0.43435112,1,Non_Poor,Non_Severely_Poor,0,0,0,2,0
7,113604,204795,234344,138457,107960,224376,227470,131394,139210,313868,352537,115985,306571.44,0.55699998,-0.91677368,5,Poor,Poor,0,0,0,0,17
8,80687,307866,172446,130201,179157,239166,142115,130762,230850,348283,157310,185157,55000.0,0.27899998,-1.520102,2,Non_Poor,Non_Severely_Poor,0,0,0,0,9
9,36742,156964,367709,129785,99173,152489,354078,85460,192672,383760,318355,26813,55000.0,0.16699999999999998,0.53944194,1,Non_Poor,Non_Severely_Poor,0,3,3,0,0
10,84802,227827,275028,103543,121400,197697,295702,76401,249988,386838,188078,96696,60000.0,0.16699999999999998,-0.9719196,1,Non_Poor,Non_Severely_Poor,0,0,0,0,22
11,132427,170056,352506,266611,199082,238517,387580,96421,544685,359759,142536,181820,30000.0,0.16699999999999998,0.42073464,1,Non_Poor,Non_Severely_Poor,0,0,0,1,3
12,154749,210459,236935,89057,144116,207925,209822,129337,195602,414731,188046,123221,200000.0,0.056000002,4.7812653,1,Non_Poor,Non_Severely_Poor,0,0,7,0,3
13,150678,234093,347462,189367,165878,280190,271015,204517,271943,484247,175610,297000,20000.0,0.38999999,0.3394081,4,Poor,Non_Severely_Poor,0,2,1,0,1
14,27883,310012,441549,142156,26586,350472,398991,145551,48576,543532,467893,168799,70000.0,0.38999999,0.0057338676,4,Poor,Non_Severely_Poor,0,0,3,0,6
15,34832,221725,558281,106762,55615,286961,501260,77764,134609,644136,345313,104742,90500.0,0.38999999,-1.0351306999999998,4,Poor,Non_Severely_Poor,0,0,0,0,2
16,44853,147572,347738,151037,89260,198831,317224,85885,208665,437856,182337,92742,260000.0,0.16699999999999998,1.5358614,1,Non_Poor,Non_Severely_Poor,0,0,7,0,0
17,124488,235545,199517,131650,150847,218844,203211,118298,290996,263898,230413,136293,25000.0,0.22299999,-0.88178396,2,Non_Poor,Non_Severely_Poor,0,0,2,0,2
18,134436,176962,387842,222360,183094,168854,374502,195150,331718,410196,250216,236670,90000.0,0.33399999,1.6328517,3,Poor,Non_Severely_Poor,0,2,0,2,0
19,270476,119405,240005,61314,40785,268947,326313,55155,110929,222868,558592,29211,205000.0,0.33399999,0.83906424,3,Poor,Non_Severely_Poor,0,0,0,0,3
20,133943,289519,289522,208616,135139,348393,208679,229389,258667,561000,176197,232936,45000.0,0.33399999,-0.65709585,3,Poor,Non_Severely_Poor,0,0,1,0,2
21,153307,190876,231983,345434,223393,170389,297707,230111,393099,383989,174350,277362,0.0,0.66899997,-4.0560222,5,Poor,Poor,0,0,0,0,3
22,12824,161807,574906,172063,25583,261975,514762,119280,64838,502200,523235,138527,0.0,0.44599998,-1.374929,5,Poor,Non_Severely_Poor,0,1,1,0,6
23,66339,169408,539491,146362,90597,204895,532908,93200,331213,399522,412411,85654,132000.0,0.112,0.034949627000000004,1,Non_Poor,Non_Severely_Poor,0,0,0,0,4
24,214005,128380,411195,168020,215337,202219,360172,143872,304635,344935,436135,143095,20000.0,0.16699999999999998,3.0653365000000004,1,Non_Poor,Non_Severely_Poor,0,0,0,0,8
25,30426,280435,447841,162898,67323,317637,407974,128666,184077,426343,478019,140361,82000.0,0.16699999999999998,-1.0442227,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
26,68821,137181,382398,102800,78539,154268,406369,52024,164025,468170,251773,37632,75000.0,0.16699999999999998,-0.034552176000000004,1,Non_Poor,Non_Severely_Poor,0,0,2,0,0
27,66742,149415,664683,40760,65362,176139,640819,39280,117229,398648,653520,59403,120000.0,0.33399999,1.7533824,3,Poor,Non_Severely_Poor,0,0,1,0,3
28,74988,292114,421797,132701,79531,314349,410663,117057,149329,494298,439302,145871,55000.0,0.22299999,-2.3487046,2,Non_Poor,Non_Severely_Poor,0,0,0,0,4
29,171762,312397,211378,226063,181062,346869,151123,242546,465907,311128,108004,343761,620000.0,0.33399999,7.8902564,3,Poor,Non_Severely_Poor,0,0,5,0,3
30,19016,100752,410897,390935,37949,272772,573925,36954,95453,616865,477750,38732,35000.0,0.50199997,-3.9020364,5,Poor,Poor,0,0,0,0,0
31,123497,113131,379035,75537,125879,202470,284988,77863,196238,324709,327661,72992,200000.0,0.33399999,4.6382965999999985,3,Poor,Non_Severely_Poor,0,0,0,0,0
32,24977,166206,439752,290665,84841,353299,298798,184662,272216,532652,179975,243957,42428.57,0.38999999,-0.56427431,4,Poor,Non_Severely_Poor,0,0,0,0,12
33,142519,257363,373385,148333,109572,316602,367880,127546,223488,496727,388260,120325,94000.0,0.33399999,-0.16912208,3,Poor,Non_Severely_Poor,0,0,0,0,5
34,107400,287049,425791,101360,124796,301293,377431,118080,138558,381364,591040,117838,130000.0,0.38999999,-0.5337584,4,Poor,Non_Severely_Poor,0,0,0,0,1
35,36711,201724,497136,186029,49011,268824,459904,143861,100021,464487,567780,96512,35000.0,0.22299999,-1.9170649,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
36,80725,143818,321221,145436,104158,264213,175014,147815,234961,341535,164808,180296,170000.0,0.16699999999999998,0.99472874,1,Non_Poor,Non_Severely_Poor,0,0,4,0,0
37,32625,201903,538698,148374,43747,268134,544902,64817,96733,638810,409083,84174,105000.0,0.50199997,-2.8830903,5,Poor,Poor,0,0,0,0,1
38,54895,291967,492043,82695,75412,339814,412101,94273,161310,639140,360179,68171,70000.0,0.16699999999999998,-1.2998687,1,Non_Poor,Non_Severely_Poor,0,0,0,0,3
39,69692,154985,412873,284050,100152,217039,579053,25356,211303,565434,445134,6929,110000.0,0.22299999,0.73400885,2,Non_Poor,Non_Severely_Poor,0,2,6,0,11
40,40971,106280,299795,244154,77199,156027,425244,32730,147774,313174,433917,26735,93000.0,0.16699999999999998,0.079482295,1,Non_Poor,Non_Severely_Poor,0,0,0,0,12
41,29441,86210,631594,174355,33132,214705,642161,31602,54168,727473,426722,20437,120000.0,0.22299999,-1.0529692,2,Non_Poor,Non_Severely_Poor,0,0,2,0,1
42,40735,214233,384866,51366,55674,231428,355567,48531,121536,350138,393518,56408,260714.28,0.33399999,1.7592279999999998,3,Poor,Non_Severely_Poor,0,0,0,0,1
43,162684,227437,432881,98598,189495,224742,423642,83721,396888,479029,303014,49869,40000.0,0.38999999,-0.10185561,4,Poor,Non_Severely_Poor,0,1,1,0,14
44,127631,63934,392580,337455,146804,235155,467785,71856,443275,553532,186218,45775,75000.0,0.056000002,1.4120537,1,Non_Poor,Non_Severely_Poor,0,0,0,0,1
45,80036,193612,259940,157612,90056,241896,218169,141079,199302,328414,230234,163650,170000.0,0.38999999,0.34974968,4,Poor,Non_Severely_Poor,0,0,0,0,11
46,38402,119148,329888,203762,59906,237323,300390,93581,128174,442107,283462,67857,70000.0,0.22299999,-0.72442043,2,Non_Poor,Non_Severely_Poor,0,1,2,0,5
