,,municipality,commune,pic_1,panoramaid1,pic_2_1,panoramaid2,pic_2_2,panoramaid3,pic_2_3,panoramaid4,pic_2_4,panoramaid5,pic_2_5,pic_2_2_detections,pic_1_detections,pic_2_1_detections,pic_2_3_detections,pic_2_4_detections,pic_2_5_detections
uuid:00067e52-4e8c-4035-b16e-c977266597d7,Jan 29,Cazenga,Hoji Ya Henda,1548773782221.jpg,Left,1548773793789.jpg,Left-front,1548773803967.jpg,Front,1548773819169.jpg,Front-right,1548773827662.jpg,Right,1548773841325.jpg,"[{'name': 'potted plant', 'percentage_probability': 54.68669533729553, 'box_points': [439, 238, 511, 301]}]",[],[],[],[],"[{'name': 'bowl', 'percentage_probability': 66.22694730758667, 'box_points': [101, 318, 137, 336]}, {'name': 'chair', 'percentage_probability': 85.24692058563232, 'box_points': [411, 298, 520, 456]}]"
uuid:001e9a75-3867-4f2f-8cfa-ac55d5f21e1e,Jan 29,Cazenga,Hoji Ya Henda,1548779218481.jpg,Left,1548779234464.jpg,Left-front,1548779251774.jpg,Front,1548779271753.jpg,Front-right,1548779283846.jpg,Right,1548779298188.jpg,"[{'name': 'person', 'percentage_probability': 69.28181648254395, 'box_points': [178, 186, 199, 246]}, {'name': 'person', 'percentage_probability': 63.40557336807251, 'box_points': [100, 205, 114, 252]}, {'name': 'umbrella', 'percentage_probability': 54.48301434516907, 'box_points': [7, 179, 76, 210]}, {'name': 'person', 'percentage_probability': 99.85908269882202, 'box_points': [287, 194, 338, 311]}, {'name': 'person', 'percentage_probability': 98.0519950389862, 'box_points': [547, 316, 644, 476]}]",[],"[{'name': 'umbrella', 'percentage_probability': 53.927868604660034, 'box_points': [577, 192, 631, 214]}, {'name': 'person', 'percentage_probability': 64.52723741531372, 'box_points': [507, 196, 525, 248]}, {'name': 'truck', 'percentage_probability': 62.46902346611023, 'box_points': [457, 205, 503, 234]}, {'name': 'person', 'percentage_probability': 51.601576805114746, 'box_points': [483, 205, 495, 240]}, {'name': 'car', 'percentage_probability': 80.54229021072388, 'box_points': [240, 217, 397, 290]}]","[{'name': 'person', 'percentage_probability': 70.56934237480164, 'box_points': [356, 232, 383, 291]}, {'name': 'person', 'percentage_probability': 86.65690422058105, 'box_points': [382, 234, 419, 288]}]","[{'name': 'person', 'percentage_probability': 56.78565502166748, 'box_points': [246, 175, 258, 197]}, {'name': 'person', 'percentage_probability': 61.36937141418457, 'box_points': [606, 188, 619, 225]}, {'name': 'car', 'percentage_probability': 81.52973651885986, 'box_points': [509, 180, 599, 234]}, {'name': 'person', 'percentage_probability': 79.94807958602905, 'box_points': [276, 167, 301, 250]}, {'name': 'person', 'percentage_probability': 80.94894886016846, 'box_points': [303, 172, 331, 247]}]","[{'name': 'car', 'percentage_probability': 65.39212465286255, 'box_points': [158, 175, 189, 196]}, {'name': 'car', 'percentage_probability': 67.38535761833191, 'box_points': [5, 162, 99, 218]}]"
uuid:0048aeab-1661-4c12-9e82-d75c54c6c6d3,Feb 9,Viana,Viana Sede,1549704140807.jpg,Left,1549704150739.jpg,Left-front,1549704163506.jpg,Front,1549704174059.jpg,Front-right,1549704182681.jpg,Right,1549704197699.jpg,"[{'name': 'person', 'percentage_probability': 50.90861916542053, 'box_points': [207, 176, 220, 201]}, {'name': 'motorcycle', 'percentage_probability': 52.97698378562927, 'box_points': [207, 181, 221, 203]}]",[],[],[],"[{'name': 'person', 'percentage_probability': 95.22708654403687, 'box_points': [511, 204, 534, 264]}, {'name': 'person', 'percentage_probability': 98.31961393356323, 'box_points': [243, 216, 267, 290]}]","[{'name': 'person', 'percentage_probability': 83.60646963119507, 'box_points': [164, 195, 175, 232]}]"
uuid:006c58c6-cefd-4552-bd9a-7200d11b5bfb,Feb 8,Viana,Viana Sede,1549638155112.jpg,Left,1549638165019.jpg,Left-front,1549638176305.jpg,Front,1549638185914.jpg,Front-right,1549638195758.jpg,Right,1549638203739.jpg,"[{'name': 'person', 'percentage_probability': 99.0648627281189, 'box_points': [311, 297, 483, 476]}]",[],[],"[{'name': 'person', 'percentage_probability': 87.78829574584961, 'box_points': [166, 401, 245, 478]}, {'name': 'person', 'percentage_probability': 87.56585717201233, 'box_points': [0, 239, 109, 471]}]","[{'name': 'person', 'percentage_probability': 72.32974767684937, 'box_points': [547, 203, 562, 253]}, {'name': 'person', 'percentage_probability': 57.71515369415283, 'box_points': [515, 216, 530, 246]}, {'name': 'person', 'percentage_probability': 57.25502967834473, 'box_points': [526, 223, 543, 253]}, {'name': 'person', 'percentage_probability': 90.20222425460815, 'box_points': [139, 432, 195, 478]}, {'name': 'person', 'percentage_probability': 94.37057971954346, 'box_points': [0, 254, 89, 479]}, {'name': 'person', 'percentage_probability': 98.15964698791504, 'box_points': [544, 284, 637, 476]}, {'name': 'horse', 'percentage_probability': 56.50445818901062, 'box_points': [412, 367, 512, 477]}]","[{'name': 'car', 'percentage_probability': 52.79562473297119, 'box_points': [218, 205, 242, 223]}, {'name': 'person', 'percentage_probability': 81.50784969329834, 'box_points': [138, 212, 157, 263]}, {'name': 'person', 'percentage_probability': 85.01579761505127, 'box_points': [240, 220, 259, 281]}, {'name': 'skateboard', 'percentage_probability': 65.00222682952881, 'box_points': [257, 277, 313, 332]}]"
uuid:00ae6e8f-93b1-475f-a0ba-69eb6bd6b942,Jan 31,Maianga,Cassequel,1548948507643.jpg,Left,1548948520502.jpg,Left-front,1548948534497.jpg,Front,1548948545460.jpg,Front-right,1548948558899.jpg,Right,1548948571618.jpg,[],[],"[{'name': 'person', 'percentage_probability': 56.37642741203308, 'box_points': [467, 217, 519, 305]}]",[],"[{'name': 'person', 'percentage_probability': 94.30299997329712, 'box_points': [319, 419, 377, 479]}]","[{'name': 'person', 'percentage_probability': 87.01943159103394, 'box_points': [298, 205, 345, 309]}]"
uuid:00afc177-97e3-4741-ae0c-aff5963bd3ae,Feb 21,Cacuaco,Kikolo,1550755932915.jpg,Left,1550756351923.jpg,Left-front,1550756368415.jpg,Front,1550756386300.jpg,Front-right,1550756402292.jpg,Right,1550756414352.jpg,[],[],"[{'name': 'person', 'percentage_probability': 61.31894588470459, 'box_points': [226, 111, 242, 165]}, {'name': 'person', 'percentage_probability': 51.496607065200806, 'box_points': [279, 120, 293, 173]}, {'name': 'person', 'percentage_probability': 67.32197999954224, 'box_points': [270, 134, 284, 174]}, {'name': 'person', 'percentage_probability': 61.98330521583557, 'box_points': [272, 127, 290, 174]}, {'name': 'person', 'percentage_probability': 56.26518726348877, 'box_points': [160, 122, 205, 210]}, {'name': 'person', 'percentage_probability': 63.024699687957764, 'box_points': [178, 119, 214, 216]}, {'name': 'motorcycle', 'percentage_probability': 75.92845559120178, 'box_points': [162, 157, 197, 227]}, {'name': 'truck', 'percentage_probability': 56.42697811126709, 'box_points': [5, 3, 128, 279]}]",[],[],[]
uuid:0123910d-1255-4616-8c3d-b74752560c64,Jan 31,Maianga,Cassequel,1548929140803.jpg,Left,1548929155039.jpg,Left-front,1548929168578.jpg,Front,1548929183793.jpg,Front-right,1548929196696.jpg,Right,1548929209421.jpg,"[{'name': 'potted plant', 'percentage_probability': 66.78766012191772, 'box_points': [13, 267, 91, 351]}]",[],"[{'name': 'potted plant', 'percentage_probability': 54.40140962600708, 'box_points': [571, 245, 640, 404]}]",[],[],[]
uuid:01282f4f-0cb3-4c7f-864b-a94fbf4c748d,Jan 27,Cacuaco,Cacuaco,1548592766051.jpg,Left,1548592785136.jpg,Left-front,1548592795505.jpg,Front,1548592808488.jpg,Front-right,1548592820131.jpg,Right,1548592829444.jpg,"[{'name': 'person', 'percentage_probability': 70.13126015663147, 'box_points': [205, 69, 237, 98]}, {'name': 'person', 'percentage_probability': 76.95260047912598, 'box_points': [119, 77, 155, 214]}]",[],"[{'name': 'person', 'percentage_probability': 84.49313044548035, 'box_points': [607, 55, 634, 158]}]","[{'name': 'person', 'percentage_probability': 87.22452521324158, 'box_points': [10, 62, 107, 302]}]","[{'name': 'bottle', 'percentage_probability': 51.32473707199097, 'box_points': [263, 185, 300, 274]}, {'name': 'vase', 'percentage_probability': 51.492106914520264, 'box_points': [263, 182, 301, 276]}, {'name': 'person', 'percentage_probability': 55.75994849205017, 'box_points': [429, 69, 476, 192]}, {'name': 'person', 'percentage_probability': 77.10112929344177, 'box_points': [490, 59, 527, 190]}, {'name': 'person', 'percentage_probability': 77.55311727523804, 'box_points': [428, 65, 508, 217]}, {'name': 'person', 'percentage_probability': 58.03200006484985, 'box_points': [237, 140, 300, 258]}, {'name': 'person', 'percentage_probability': 51.112908124923706, 'box_points': [384, 52, 542, 248]}, {'name': 'person', 'percentage_probability': 98.2774555683136, 'box_points': [371, 34, 639, 354]}]","[{'name': 'person', 'percentage_probability': 89.15653228759766, 'box_points': [297, 37, 333, 135]}, {'name': 'person', 'percentage_probability': 54.71891760826111, 'box_points': [430, 40, 455, 131]}, {'name': 'person', 'percentage_probability': 86.83397769927979, 'box_points': [392, 53, 414, 116]}, {'name': 'person', 'percentage_probability': 89.97063636779785, 'box_points': [418, 42, 451, 148]}, {'name': 'person', 'percentage_probability': 93.12077760696411, 'box_points': [330, 53, 376, 152]}, {'name': 'person', 'percentage_probability': 99.00128841400146, 'box_points': [25, 68, 111, 199]}, {'name': 'person', 'percentage_probability': 99.16754961013794, 'box_points': [192, 36, 238, 197]}]"
uuid:018e1b8c-7394-40d9-b74b-f4e408040b37,Feb 18,Cacuaco,Funda,1550510743904.jpg,Left,1550510806628.jpg,Left-front,1550510813584.jpg,Front,1550510822910.jpg,Front-right,1550510847576.jpg,Right,1550510865818.jpg,[],[],"[{'name': 'person', 'percentage_probability': 87.3578131198883, 'box_points': [225, 122, 255, 226]}, {'name': 'person', 'percentage_probability': 61.4717960357666, 'box_points': [253, 140, 288, 223]}]","[{'name': 'person', 'percentage_probability': 74.3642807006836, 'box_points': [182, 208, 190, 237]}, {'name': 'person', 'percentage_probability': 65.32771587371826, 'box_points': [167, 212, 175, 237]}]","[{'name': 'person', 'percentage_probability': 58.011430501937866, 'box_points': [79, 195, 91, 232]}, {'name': 'person', 'percentage_probability': 98.42209219932556, 'box_points': [392, 176, 444, 304]}, {'name': 'person', 'percentage_probability': 99.4440495967865, 'box_points': [504, 178, 553, 309]}]","[{'name': 'person', 'percentage_probability': 66.08543395996094, 'box_points': [15, 209, 29, 246]}, {'name': 'person', 'percentage_probability': 55.30642867088318, 'box_points': [197, 189, 216, 235]}]"
uuid:01fd5ee2-c53b-40bd-a500-985def3b469e,Feb 11,Viana,Viana Sede,1549879160101.jpg,Left,1549879172032.jpg,Left-front,1549879181027.jpg,Front,1549879190017.jpg,Front-right,1549879197625.jpg,Right,1549879206611.jpg,[],[],"[{'name': 'car', 'percentage_probability': 77.95372009277344, 'box_points': [359, 46, 386, 68]}, {'name': 'truck', 'percentage_probability': 57.73530602455139, 'box_points': [206, 25, 384, 194]}]",[],"[{'name': 'truck', 'percentage_probability': 58.11346769332886, 'box_points': [268, 42, 644, 268]}, {'name': 'car', 'percentage_probability': 78.01095247268677, 'box_points': [269, 45, 637, 273]}]","[{'name': 'car', 'percentage_probability': 72.24339842796326, 'box_points': [-4, 11, 285, 261]}, {'name': 'truck', 'percentage_probability': 76.5619158744812, 'box_points': [-4, 10, 291, 265]}]"
