,0
0,"{'umbrella': 53.927868604660034, 'person': 64.52723741531372, 'truck': 62.46902346611023}"
1,"{'umbrella': 53.927868604660034, 'person': 64.52723741531372, 'truck': 62.46902346611023}"
2,"{'umbrella': 53.927868604660034, 'person': 64.52723741531372, 'truck': 62.46902346611023}"
3,
4,{'person': 56.37642741203308}
5,{'person': 61.31894588470459}
6,
7,{'potted plant': 54.40140962600708}
8,{'person': 84.49313044548035}
9,{'person': 87.3578131198883}
10,
11,"{'car': 77.95372009277344, 'truck': 57.73530602455139}"
12,"{'car': 77.95372009277344, 'truck': 57.73530602455139}"
13,{'person': 59.32259559631348}
14,
15,{'car': 52.27588415145874}
16,
17,{'car': 86.48535013198853}
18,
19,"{'cow': 51.75561308860779, 'person': 95.35014033317566}"
20,"{'cow': 51.75561308860779, 'person': 95.35014033317566}"
21,{'car': 80.1203966140747}
22,{'car': 93.40174198150635}
23,{'truck': 71.28366827964783}
24,"{'car': 71.81254625320435, 'person': 93.16822290420532}"
25,"{'car': 71.81254625320435, 'person': 93.16822290420532}"
26,{'person': 69.46426630020142}
27,
28,{'person': 56.202226877212524}
29,
30,{'person': 66.40293598175049}
31,
32,{'person': 75.26464462280273}
33,
34,"{'bench': 54.07235026359558, 'car': 76.39464139938354}"
35,"{'bench': 54.07235026359558, 'car': 76.39464139938354}"
36,{'car': 99.56316947937012}
37,{'person': 67.67657399177551}
38,{'car': 66.6554868221283}
39,
40,{'person': 67.70217418670654}
41,
42,{'person': 92.52630472183228}
43,"{'car': 68.79732608795166, 'person': 72.15466499328613}"
44,"{'car': 68.79732608795166, 'person': 72.15466499328613}"
45,
46,{'cake': 61.2169623374939}
47,"{'car': 82.7759861946106, 'person': 54.75279688835144}"
48,"{'car': 82.7759861946106, 'person': 54.75279688835144}"
49,{'person': 90.05330801010132}
50,
51,{'person': 83.44039916992188}
52,
53,{'person': 95.71021795272827}
54,{'person': 53.20512056350708}
55,
56,{'bowl': 83.77245664596558}
57,"{'car': 67.45069026947021, 'person': 52.07963585853577}"
58,"{'car': 67.45069026947021, 'person': 52.07963585853577}"
59,
60,
61,{'potted plant': 52.12801694869995}
62,
63,"{'truck': 57.74460434913635, 'person': 78.82938385009766, 'car': 52.34764814376831}"
64,"{'truck': 57.74460434913635, 'person': 78.82938385009766, 'car': 52.34764814376831}"
65,"{'truck': 57.74460434913635, 'person': 78.82938385009766, 'car': 52.34764814376831}"
66,
67,{'person': 66.4189338684082}
68,
69,{'chair': 93.6327576637268}
70,{'person': 75.05072355270386}
71,"{'person': 81.8034291267395, 'truck': 91.89744591712952}"
72,"{'person': 81.8034291267395, 'truck': 91.89744591712952}"
73,{'person': 89.52696323394775}
74,
75,{'person': 95.3909695148468}
76,
77,{'person': 68.40437054634094}
78,
79,{'person': 98.15112948417664}
80,{'person': 52.94632315635681}
81,
82,
83,{'car': 94.93976831436157}
84,{'person': 64.59701657295227}
85,
86,{'person': 57.266080379486084}
87,"{'umbrella': 54.874491691589355, 'person': 60.201817750930786}"
88,"{'umbrella': 54.874491691589355, 'person': 60.201817750930786}"
89,
90,{'person': 62.63507604598999}
91,
92,
93,{'person': 70.96872329711914}
94,{'person': 80.11087775230408}
95,"{'person': 57.95033574104309, 'truck': 98.25369119644165}"
96,"{'person': 57.95033574104309, 'truck': 98.25369119644165}"
97,"{'person': 72.83776998519897, 'bench': 81.75087571144104}"
98,"{'person': 72.83776998519897, 'bench': 81.75087571144104}"
99,{'truck': 56.63518309593201}
100,{'person': 56.38992786407471}
101,
102,{'person': 99.9457836151123}
103,{'potted plant': 70.73426246643066}
104,
105,{'person': 69.42197680473328}
106,
107,"{'person': 60.973167419433594, 'motorcycle': 88.64285945892334}"
108,"{'person': 60.973167419433594, 'motorcycle': 88.64285945892334}"
109,{'person': 62.84818649291992}
110,
111,{'person': 81.46781921386719}
112,
113,"{'car': 91.10527038574219, 'bench': 53.54229807853699}"
114,"{'car': 91.10527038574219, 'bench': 53.54229807853699}"
115,{'person': 66.73544645309448}
116,{'car': 92.10467338562012}
117,{'person': 65.66620469093323}
118,
119,{'person': 70.4172134399414}
120,{'person': 52.51273512840271}
121,"{'bottle': 69.327312707901, 'person': 93.93327236175537}"
122,"{'bottle': 69.327312707901, 'person': 93.93327236175537}"
123,
124,{'person': 91.45455360412598}
125,
126,{'car': 85.93242168426514}
127,{'person': 97.53202795982361}
