,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 1,municipality,commune,pic_1,panoramaid1,pic_2_1,panoramaid2,pic_2_2,panoramaid3,pic_2_3,panoramaid4,pic_2_4,panoramaid5,pic_2_5,pic_2_2_detections
0,0,0,0,0,uuid:494dfc85-3d30-4bf1-b0a4-a80549c26a60,Feb 13,Samba,Benfica,1550072297174.jpg,Left,1550072309262.jpg,Left-front,1550072324201.jpg,Front,1550072338267.jpg,Front-right,1550072351322.jpg,Right,1550072361189.jpg,[]
1,1,1,1,1,uuid:10aa9039-d928-42b4-950d-cddc30d890cd,Jan 28,Cacuaco,Kikolo,1548672554095.jpg,Left,1548672605388.jpg,Left-front,1548672620763.jpg,Front,1548672637629.jpg,Front-right,1548672652800.jpg,Right,1548672667945.jpg,"[{'name': 'person', 'percentage_probability': 88.58916759490967, 'box_points': [382, 202, 419, 315]}, {'name': 'person', 'percentage_probability': 88.17834854125977, 'box_points': [512, 200, 577, 333]}]"
2,2,2,2,2,uuid:9dc7871f-09d1-4e9e-aaff-78d305137868,Feb 8,Cacuaco,Kikolo,1549637835296.jpg,Left,1549637855302.jpg,Left-front,1549637863970.jpg,Front,1549637873308.jpg,Front-right,1549637883720.jpg,Right,1549637896102.jpg,"[{'name': 'person', 'percentage_probability': 88.11352252960205, 'box_points': [476, 62, 534, 159]}, {'name': 'person', 'percentage_probability': 79.64062690734863, 'box_points': [302, 100, 326, 164]}]"
3,3,3,3,3,uuid:333d25e6-4666-4800-a8a1-61ff15d452ac,Jan 30,Cacuaco,Cacuaco,1548855262077.jpg,Left,1548855299288.jpg,Left-front,1548855308843.jpg,Front,1548855322465.jpg,Front-right,1548855333928.jpg,Right,1548855345449.jpg,"[{'name': 'person', 'percentage_probability': 74.63798522949219, 'box_points': [0, 156, 16, 207]}, {'name': 'person', 'percentage_probability': 80.25984764099121, 'box_points': [70, 171, 96, 238]}]"
4,4,4,4,4,uuid:81b38a34-e149-426c-8a9a-b8f0d6758c71,Feb 13,Samba,Benfica,1550050768015.jpg,Left,1550050791746.jpg,Left-front,1550050844591.jpg,Front,1550050853840.jpg,Front-right,1550050893888.jpg,Right,1550050902663.jpg,[]
5,5,5,5,5,uuid:83517210-1ae2-4f0d-88d1-4ae4e6cc9497,Mar 2,Cacuaco,Kikolo,1551530031322.jpg,Left,1551530057369.jpg,Left-front,1551530072313.jpg,Front,1551530083645.jpg,Front-right,1551530103085.jpg,Right,1551530115044.jpg,[]
6,6,6,6,6,uuid:efdf0bad-6302-47df-ac7c-d9deca50566e,Feb 2,Kilamba Kiaxi,Kilamba Kiaxi,1549114444111.jpg,Left,1549114471778.jpg,Left-front,1549114483335.jpg,Front,1549114495026.jpg,Front-right,1549114505530.jpg,Right,1549114629249.jpg,"[{'name': 'car', 'percentage_probability': 76.72913074493408, 'box_points': [0, 262, 27, 280]}, {'name': 'person', 'percentage_probability': 68.26395392417908, 'box_points': [60, 265, 75, 302]}, {'name': 'person', 'percentage_probability': 68.81672143936157, 'box_points': [120, 278, 139, 310]}, {'name': 'person', 'percentage_probability': 76.37087106704712, 'box_points': [338, 274, 355, 327]}, {'name': 'backpack', 'percentage_probability': 80.2250325679779, 'box_points': [284, 291, 314, 340]}, {'name': 'person', 'percentage_probability': 88.37194442749023, 'box_points': [270, 271, 315, 410]}]"
7,7,7,7,7,uuid:ee0fd2ec-e7fb-4173-bf45-713f08c41445,Feb 16,Viana,Viana Sede,1550319612648.jpg,Left,1550319620229.jpg,Left-front,1550319626968.jpg,Front,1550319633772.jpg,Front-right,1550319642823.jpg,Right,1550319649813.jpg,"[{'name': 'car', 'percentage_probability': 94.99320387840271, 'box_points': [443, 76, 637, 334]}]"
8,8,8,8,8,uuid:5d17bcf3-b6c2-4a10-a0fa-58ad960fd034,Feb 9,Cacuaco,Kikolo,1549704586188.jpg,Left,1549704607018.jpg,Left-front,1549704616226.jpg,Front,1549704623267.jpg,Front-right,1549704632479.jpg,Right,1549704639343.jpg,"[{'name': 'person', 'percentage_probability': 90.13845324516296, 'box_points': [269, 184, 300, 284]}, {'name': 'person', 'percentage_probability': 94.9094295501709, 'box_points': [230, 178, 270, 294]}, {'name': 'person', 'percentage_probability': 61.10261678695679, 'box_points': [245, 181, 283, 289]}]"
9,9,9,9,9,uuid:6be26d87-ee4b-4942-a0a1-d6d3e5603766,Jan 29,Cacuaco,Cacuaco,1548766868805.jpg,Left,1548766890405.jpg,Left-front,1548766898939.jpg,Front,1548766906004.jpg,Front-right,1548766915099.jpg,Right,1548766922526.jpg,[]
10,10,10,10,10,uuid:d6c735c4-d4f6-4edb-8eeb-ea359aece10d,Jan 31,Cacuaco,Kikolo,1548927801684.jpg,Left,1548927822081.jpg,Left-front,1548927850756.jpg,Front,1548927862402.jpg,Front-right,1548927875325.jpg,Right,1548927889727.jpg,[]
11,11,11,11,11,uuid:8ae69111-fb6d-4861-8e0a-fd49855e6ab1,Jan 26,Sambizanga,N'gola Kilwanji,1548511990269.jpg,Left,1548512009323.jpg,Left-front,1548512019031.jpg,Front,1548512029060.jpg,Front-right,1548512043607.jpg,Right,1548512054098.jpg,[]
12,12,12,12,12,uuid:5bb69f29-0250-4f8c-92a6-5cd46e254f24,Jan 25,Cacuaco,Funda,1548429108258.jpg,Left,1548429121728.jpg,Left-front,1548429136130.jpg,Front,1548429146011.jpg,Front-right,1548429156167.jpg,Right,1548429206949.jpg,[]
13,13,13,13,13,uuid:d0179d39-d6c4-45f3-966e-08a3934d13c6,Feb 15,Cazenga,Cazenga,1550219656748.jpg,Left,1550219678718.jpg,Left-front,1550219698892.jpg,Front,1550219707418.jpg,Front-right,1550219717761.jpg,Right,1550219731731.jpg,[]
14,14,14,14,14,uuid:bde0b9f5-db6b-4767-bff5-3a461e08232f,Feb 10,Cacuaco,Cacuaco,1549799341574.jpg,Left,1549799355693.jpg,Left-front,1549799365785.jpg,Front,1549799372914.jpg,Front-right,1549799379560.jpg,Right,1549799386343.jpg,[]
15,15,15,15,15,uuid:6c27f483-d17e-4912-8b73-2c1093555f6d,Jan 31,Cazenga,Cazenga,1548934027637.jpg,Left,1548934037060.jpg,Left-front,1548934052527.jpg,Front,1548934093813.jpg,Front-right,1548934106177.jpg,Right,1548934118715.jpg,[]
16,16,16,16,16,uuid:4155bfb5-729a-4e5e-999e-621984a06345,Feb 13,Viana,Viana Sede,1550060622155.jpg,Left,1550060503647.jpg,Left-front,1550060515697.jpg,Front,1550060529270.jpg,Front-right,1550060539339.jpg,Right,1550060553339.jpg,"[{'name': 'car', 'percentage_probability': 93.54945421218872, 'box_points': [308, 138, 503, 224]}]"
17,17,17,17,17,uuid:988a2d6e-f49a-422e-a9e4-9accd791881b,Feb 11,Viana,Viana Sede,1549891613189.jpg,Left,1549891622475.jpg,Left-front,1549891631029.jpg,Front,1549891640252.jpg,Front-right,1549891648173.jpg,Right,1549891658034.jpg,"[{'name': 'bench', 'percentage_probability': 64.35551047325134, 'box_points': [432, 280, 507, 345]}]"
18,18,18,18,18,uuid:7608ed66-2376-481e-9154-8426ef9a4870,Feb 8,Cacuaco,Kikolo,1549631248904.jpg,Left,1549631264653.jpg,Left-front,1549631275499.jpg,Front,1549631286505.jpg,Front-right,1549631297790.jpg,Right,1549631309096.jpg,"[{'name': 'chair', 'percentage_probability': 84.23486948013306, 'box_points': [37, 288, 78, 407]}, {'name': 'person', 'percentage_probability': 54.849058389663696, 'box_points': [0, 156, 56, 426]}]"
19,19,19,19,19,uuid:c54a502f-25cb-428f-94c2-b61ca7957423,Feb 9,Viana,Viana Sede,1549723657669.jpg,Left,1549723689213.jpg,Left-front,1549723697906.jpg,Front,1549723710990.jpg,Front-right,1549723724707.jpg,Right,1549723733015.jpg,"[{'name': 'person', 'percentage_probability': 99.8069167137146, 'box_points': [2, 44, 186, 478]}]"
20,20,20,20,20,uuid:c7c5e94e-b4b6-4581-9825-955fb1de1fb1,Feb 4,Viana,Viana Sede,1549287905962.jpg,Left,1549288000528.jpg,Left-front,1549288017826.jpg,Front,1549288032977.jpg,Front-right,1549288048679.jpg,Right,1549288063262.jpg,[]
